stn,name,cohort,lat,lon,is_nbcn,elev,elev_diff,mae,bias,crps,mae_ref_raw,mae_ref_corr,skill_raw,skill_corr,z_std,cov90,pit_mean,pit_std,mae_tail,bias_tail,cov90_tail,n_days
BIA,Biasca,smn,46.336053,8.978197,False,278.0,-923.3409252437816,2.0085089206695557,-1.0651192665100098,1.5082699235417132,9.111294746398926,3.3901094220517876,0.8344615155669474,0.5550969789556626,1.6001782417297363,0.6049382716049383,0.6784483907076977,0.33095442518865403,2.107515811920166,-2.011636257171631,0.41216216216216217,1458
BIE,Bière,smn,46.524908,6.342386,False,684.0,-79.42504741253242,0.930809497833252,0.07711314409971237,0.666250807692812,1.7145663499832153,1.5347888757644375,0.6114173081144779,0.5659006797524707,1.0308973789215088,0.8966461327857632,0.48397938066540686,0.28669698861304066,0.8371050953865051,-0.1293974369764328,0.8,1461
BIN,Binn,smn,46.367661,8.192306,False,1479.0,-554.7687564240944,1.8949998617172241,-0.9661163687705994,1.3942686554291464,6.050126075744629,2.643878840523357,0.7695471734020775,0.47264275727810956,1.5211588144302368,0.6228610540725531,0.6802644738574488,0.3311663783893755,2.5689241886138916,-2.5369954109191895,0.22297297297297297,1461
BIV,Bivio,smn,46.462494,9.668639,False,1856.0,-515.923684923886,1.5314068794250488,-0.40857693552970886,1.1057832265013452,4.491457939147949,1.8070197442369762,0.7538030542681387,0.3880624547529401,1.3256860971450806,0.8232876712328767,0.5884442969048538,0.30907411667444745,1.5791131258010864,-1.451813817024231,0.7414965986394558,1460
BIZ,Bischofszell / Sitterdorf,smn,47.508828,9.266797,False,507.0,-30.136675412099635,0.9956832528114319,-0.1589457094669342,0.7275873710328078,1.6675535440444946,1.562270585606056,0.5636797549132289,0.5342757024702268,1.184091329574585,0.86652977412731,0.5470537701908359,0.2949982023651166,0.915144681930542,-0.40678441524505615,0.8133333333333334,1461
BLA,"Blatten, Lötschental",smn,46.422261,7.825914,False,1548.0,-861.4736941093638,1.5143481492996216,-0.42762336134910583,1.0987808498305924,6.884220123291016,1.7693689834293584,0.8403913834606849,0.3789984677469842,1.3636852502822876,0.7405886379192334,0.6102333879129289,0.32635068724468197,1.615889549255371,-1.5834342241287231,0.6026490066225165,1461
BOL,Boltigen,smn,46.623519,7.384206,False,820.0,-577.9262805162439,1.380293369293213,0.03120519407093525,1.0135253747698494,5.150490760803223,2.089219372328973,0.8032177084010943,0.5148784334504737,1.489425539970398,0.811772758384668,0.5524852040944109,0.3237498759039794,1.0286723375320435,-0.6259710788726807,0.8243243243243243,1461
BOU,Bouveret,smn,46.393447,6.857006,False,374.0,-255.37022250323207,1.957068681716919,1.2657508850097656,1.5238217756122787,2.999175786972046,2.137935930610084,0.4919198193611979,0.2872462856370821,1.8816101551055908,0.5865845311430528,0.30036903878906795,0.3259604429116211,1.969682216644287,1.852041244506836,0.46,1461
BRL,La Brévine,smn,46.983844,6.610297,False,1050.0,19.921815787385867,1.1078490018844604,-0.04863040894269943,0.822489564639829,1.213849663734436,1.2643954624306737,0.32241233060985397,0.34949974981824505,1.2710195779800415,0.8767967145790554,0.5421715928847627,0.2907413143921612,0.9025140404701233,-0.5741967558860779,0.8543046357615894,1461
BUF,Buffalora,smn,46.648408,10.2672,False,1971.0,-358.67535506314107,1.06452214717865,0.009175709448754787,0.7755754116921264,4.06807279586792,1.9840482541127369,0.8093506555536801,0.6090944814046559,1.0482079982757568,0.9014373716632443,0.5164166933453073,0.2785201784199701,0.8774226903915405,-0.227629616856575,0.9066666666666666,1461
BUS,Buchs / Aarau,smn,47.384381,8.07955,False,387.0,-96.29501436150235,0.9801661372184753,-0.1643601506948471,0.7104416933417862,1.9318478107452393,1.557463878049465,0.6322475873150055,0.5438470815570192,1.1735866069793701,0.8507871321013005,0.5603471324555118,0.2960197807320921,0.8893530964851379,-0.6800008416175842,0.8523489932885906,1461
CDF,La Chaux-de-Fonds,smn,47.082947,6.792314,True,1017.0,-12.418788816429014,0.9879463911056519,-0.21869105100631714,0.7160620174341623,0.998722493648529,0.9886182456742812,0.2830220386663693,0.2756941108791934,1.04013991355896,0.8870636550308009,0.538673957170512,0.2838290060429739,0.8429626822471619,-0.28539398312568665,0.87248322147651,1461
CDM,Col des Mosses,smn,46.391525,7.098239,False,1412.0,-91.22810690004621,1.0089830160140991,0.47746923565864563,0.7203522144326541,2.0406203269958496,1.644621660859786,0.646993512265391,0.5619951800610095,0.9489187002182007,0.9032921810699589,0.38275139989120877,0.2597252574407557,0.9427593350410461,0.6471315622329712,0.8513513513513513,1458
CEV,Cevio,smn,46.320486,8.603161,False,417.0,-1019.8099729258336,2.074500799179077,-1.064707636833191,1.582932406174717,9.353192329406738,3.085756805462601,0.8307601992532617,0.4870197147835791,1.8477836847305298,0.568104038329911,0.6865695548695767,0.3422432077565851,1.8359087705612183,-1.7914047241210938,0.4697986577181208,1461
CGI,Nyon / Changins,smn,46.401053,6.227722,False,458.0,-39.83690766157076,1.0553767681121826,0.16388970613479614,0.7646854974505375,2.337078332901001,2.1860992270774466,0.6728027954025237,0.6502054948014273,1.2166998386383057,0.8494182067077344,0.470951161575347,0.30418282353941567,1.0207427740097046,-0.25642871856689453,0.7651006711409396,1461
CHA,Chasseral,smn,47.131761,7.054367,False,1594.0,634.34393322979,1.6694581508636475,0.6069581508636475,1.215723656935726,4.726766586303711,1.595911188369338,0.7428001500098589,0.23822599540897893,1.4292138814926147,0.7138945927446955,0.3415922796570679,0.320354539042489,1.4600143432617188,1.1618578433990479,0.5909090909090909,1461
CHB,Les Charbonnières,smn,46.67015,6.312428,False,1045.0,-97.65524773025209,1.0698505640029907,0.3363620340824127,0.7664674920791428,1.1292320489883423,1.2763499219413375,0.32124890294620445,0.3994848286484476,1.1026865243911743,0.869684499314129,0.42022714359872765,0.289615428407267,1.0865585803985596,0.12127791345119476,0.7567567567567568,1458
CHD,Château-d'Oex,smn,46.479819,7.139656,True,1028.0,-382.2097770820874,1.3670837879180908,-0.1538093388080597,0.999116956868217,4.424276828765869,2.3835540959759958,0.7741739507862314,0.5808289148733972,1.4098727703094482,0.7782340862422998,0.5782336527395592,0.3236447151554662,1.0752774477005005,-0.9100512862205505,0.7266666666666667,1461
CHM,Chaumont,smn,47.049169,6.978825,True,1136.0,353.761084702664,1.2332960367202759,0.49263906478881836,0.8747619036718046,2.30472731590271,1.0851736211454284,0.6204488497897722,0.1938968229356044,1.1308082342147827,0.839151266255989,0.3614374651095178,0.2890260921319618,1.0287041664123535,0.6372197270393372,0.7718120805369127,1461
CHU,Chur,smn,46.870572,9.530761,False,556.0,-818.1156201608505,1.5242139101028442,-0.4172765612602234,1.1153294187908913,7.694308757781982,2.817743003379155,0.8550448839653266,0.6041763150672925,1.5546247959136963,0.7152635181382615,0.6042372284153074,0.341371474457632,1.131168246269226,-0.6834708452224731,0.7066666666666667,1461
CHZ,Cham,smn,47.188278,8.464642,False,443.0,-51.28073530715426,0.9983856678009033,0.31859445571899414,0.7355122950266881,2.283391237258911,2.089175008633051,0.6778859956081678,0.6479412725179331,1.1834676265716553,0.8596851471594799,0.43296137037670207,0.28781077303206754,0.688978374004364,0.30562353134155273,0.8888888888888888,1461
CIM,Cimetta,smn,46.200467,8.79165,False,1661.0,815.4212914543858,1.6150641441345215,0.7897706627845764,1.163213160294242,2.913020133972168,2.7888204449586755,0.6006848196040118,0.5829013795431071,1.262445330619812,0.7412731006160165,0.33867926608895854,0.3024571519253679,1.3356897830963135,0.9428353309631348,0.7039473684210527,1461
CMA,Crap Masegn,smn,46.842275,9.180042,False,2468.0,749.2148847407848,2.007666826248169,1.6019760370254517,1.4945040415544673,4.252320289611816,1.8791020161018104,0.6485438678724511,0.20467115209912345,1.3237786293029785,0.6173853524982889,0.2413417860267111,0.2751147682131141,1.7970374822616577,1.5140671730041504,0.6026490066225165,1461
